dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,academic_tier_rating
02M529,131.0,414.0,425.0,400.0,4
02M531,42.0,429.0,404.0,420.0,
02M542,66.0,336.0,378.0,344.0,
02M543,73.0,391.0,395.0,382.0,2
02M544,14.0,389.0,371.0,335.0,3
02M545,78.0,412.0,581.0,431.0,1
02M550,26.0,368.0,436.0,352.0,4
02M551,77.0,405.0,423.0,384.0,3
02M560,56.0,498.0,440.0,477.0,4
02M565,30.0,527.0,508.0,512.0,4
02M570,33.0,350.0,337.0,345.0,1
02M575,121.0,345.0,517.0,343.0,1
02M580,84.0,408.0,384.0,403.0,4
02M586,9.0,458.0,416.0,429.0,4
02M600,335.0,423.0,423.0,411.0,1
02M605,36.0,426.0,403.0,426.0,1
02M615,83.0,399.0,418.0,390.0,4
02M620,154.0,370.0,379.0,359.0,
02M625,191.0,395.0,382.0,376.0,2
02M630,270.0,444.0,441.0,430.0,
02M655,61.0,409.0,424.0,403.0,2
03M283,27.0,406.0,379.0,408.0,3
03M299,49.0,374.0,384.0,374.0,1
03M307,41.0,384.0,390.0,370.0,4
03M404,12.0,416.0,403.0,381.0,4
03M415,32.0,371.0,850.0,370.0,4
03M470,131.0,370.0,390.0,358.0,4
03M479,261.0,577.0,575.0,592.0,2
03M485,531.0,566.0,564.0,577.0,3
03M492,66.0,396.0,398.0,402.0,2
03M494,75.0,433.0,433.0,411.0,1
03M505,35.0,401.0,369.0,351.0,3
03M541,111.0,473.0,506.0,467.0,2
03M860,43.0,356.0,379.0,361.0,2
04M409,48.0,354.0,357.0,373.0,3
04M435,375.0,461.0,514.0,455.0,1
04M495,51.0,373.0,379.0,376.0,2
04M555,73.0,405.0,421.0,395.0,2
04M610,70.0,432.0,446.0,448.0,1
04M635,48.0,369.0,369.0,357.0,2
04M680,31.0,358.0,351.0,345.0,3
05M285,29.0,357.0,318.0,333.0,3
05M304,54.0,413.0,399.0,398.0,2
05M367,33.0,354.0,366.0,342.0,3
05M369,56.0,360.0,353.0,364.0,3
05M469,20.0,354.0,360.0,385.0,4
05M499,214.0,458.0,474.0,442.0,1
05M670,66.0,396.0,402.0,404.0,3
05M685,61.0,369.0,361.0,355.0,
05M692,101.0,605.0,654.0,588.0,1
06M293,60.0,408.0,446.0,416.0,3
06M346,55.0,362.0,376.0,367.0,2
06M348,70.0,380.0,395.0,399.0,1
06M457,7.0,394.0,357.0,346.0,4
06M462,76.0,365.0,384.0,378.0,
06M463,63.0,369.0,380.0,349.0,3
06M467,94.0,363.0,378.0,361.0,2
06M468,24.0,400.0,422.0,402.0,1
06M540,228.0,430.0,456.0,423.0,3
06M552,56.0,339.0,349.0,326.0,2
07X221,65.0,364.0,378.0,348.0,
07X321,9.0,379.0,364.0,382.0,4
07X334,34.0,310.0,324.0,311.0,4
07X427,43.0,361.0,359.0,357.0,1
07X473,63.0,351.0,375.0,371.0,1
07X495,79.0,403.0,394.0,404.0,3
07X500,66.0,420.0,426.0,411.0,2
07X520,64.0,399.0,396.0,391.0,3
07X527,62.0,362.0,378.0,363.0,4
07X547,28.0,367.0,356.0,361.0,
07X548,44.0,387.0,411.0,383.0,2
07X551,51.0,413.0,381.0,407.0,3
07X600,76.0,394.0,400.0,364.0,1
07X655,47.0,398.0,416.0,370.0,1
07X670,114.0,363.0,368.0,364.0,
08X282,44.0,407.0,386.0,378.0,2
08X293,52.0,384.0,385.0,389.0,2
08X295,41.0,416.0,390.0,394.0,
08X305,67.0,337.0,361.0,340.0,2
08X312,67.0,387.0,402.0,375.0,1
08X332,39.0,363.0,371.0,350.0,1
08X377,9.0,367.0,369.0,376.0,
08X405,415.0,412.0,436.0,393.0,2
08X408,6.0,402.0,373.0,413.0,2
08X452,39.0,369.0,371.0,365.0,1
08X519,68.0,373.0,370.0,356.0,3
08X530,54.0,373.0,381.0,377.0,3
08X540,16.0,366.0,400.0,368.0,4
08X560,9.0,404.0,368.0,399.0,2
08X650,78.0,377.0,359.0,376.0,
09X227,39.0,324.0,376.0,349.0,
09X231,78.0,373.0,387.0,374.0,4
09X239,33.0,372.0,355.0,357.0,4
09X241,80.0,411.0,464.0,415.0,2
09X250,50.0,393.0,394.0,382.0,4
09X252,67.0,369.0,367.0,356.0,4
09X260,81.0,459.0,480.0,457.0,
09X263,74.0,356.0,363.0,356.0,
09X276,30.0,361.0,353.0,367.0,3
09X297,38.0,386.0,386.0,376.0,1
09X329,51.0,382.0,365.0,391.0,4
09X365,54.0,315.0,339.0,297.0,1
09X403,49.0,314.0,312.0,339.0,4
09X404,32.0,363.0,360.0,351.0,2
09X412,34.0,356.0,376.0,351.0,1
09X413,64.0,400.0,419.0,402.0,4
09X414,35.0,379.0,364.0,379.0,2
09X505,80.0,404.0,418.0,402.0,4
09X517,50.0,368.0,384.0,369.0,3
09X525,114.0,384.0,394.0,388.0,1
09X543,27.0,353.0,315.0,371.0,
10X141,113.0,438.0,455.0,440.0,
10X213,86.0,373.0,412.0,365.0,4
10X225,59.0,405.0,-10.0,394.0,
10X237,79.0,382.0,393.0,382.0,1
10X243,26.0,382.0,406.0,370.0,2
10X268,52.0,304.0,356.0,302.0,2
10X284,54.0,402.0,395.0,385.0,2
10X342,49.0,300.0,333.0,301.0,
10X368,111.0,390.0,408.0,383.0,3
10X374,61.0,392.0,401.0,387.0,2
10X397,38.0,343.0,356.0,330.0,
10X433,57.0,370.0,371.0,365.0,1
10X434,51.0,404.0,418.0,400.0,
10X437,48.0,355.0,350.0,372.0,
10X438,63.0,367.0,385.0,367.0,4
10X439,65.0,366.0,364.0,352.0,2
10X440,443.0,419.0,426.0,410.0,
10X442,52.0,423.0,420.0,427.0,1
10X445,731.0,632.0,688.0,649.0,
10X475,109.0,351.0,362.0,339.0,3
10X477,99.0,414.0,435.0,414.0,3
10X546,68.0,348.0,362.0,354.0,4
10X549,55.0,372.0,379.0,364.0,
10X660,73.0,362.0,382.0,356.0,
10X667,10.0,350.0,356.0,317.0,4
10X696,92.0,636.0,648.0,636.0,1
11X249,74.0,370.0,381.0,382.0,4
11X253,46.0,400.0,357.0,390.0,3
11X265,81.0,377.0,391.0,367.0,4
11X270,56.0,386.0,394.0,361.0,3
11X275,72.0,381.0,376.0,354.0,3
11X288,97.0,444.0,471.0,433.0,3
11X290,69.0,387.0,365.0,383.0,4
11X299,60.0,387.0,391.0,391.0,
11X415,121.0,367.0,361.0,353.0,
11X418,48.0,419.0,433.0,416.0,
11X455,189.0,386.0,397.0,368.0,1
11X513,72.0,332.0,381.0,335.0,3
11X514,48.0,377.0,372.0,363.0,2
11X541,57.0,372.0,382.0,375.0,4
11X542,76.0,431.0,438.0,419.0,2
11X544,55.0,383.0,378.0,365.0,4
11X545,46.0,388.0,393.0,382.0,2
12X245,25.0,348.0,344.0,354.0,2
12X248,49.0,347.0,367.0,341.0,1
12X251,57.0,381.0,381.0,360.0,2
12X262,30.0,361.0,353.0,360.0,
12X267,36.0,408.0,432.0,411.0,1
12X271,46.0,366.0,378.0,358.0,3
12X278,34.0,390.0,401.0,364.0,3
12X388,30.0,321.0,351.0,298.0,3
12X446,14.0,380.0,372.0,349.0,4
12X480,16.0,398.0,385.0,398.0,3
12X550,42.0,304.0,323.0,312.0,3
12X682,72.0,342.0,346.0,341.0,3
12X684,66.0,378.0,374.0,362.0,
12X690,31.0,375.0,387.0,376.0,2
12X692,43.0,332.0,357.0,349.0,2
13K265,29.0,352.0,349.0,373.0,1
